epoch,train_flow_mse,train_flow_rmse,validation_flow_mse,validation_flow_rmse,test_flow_mse,test_flow_rmse,best_validation_flow_mse_so_far,is_best_epoch
1,0.5427412502240416,0.7367097462529199,0.49128080763584564,0.7009142655388358,0.4896945019717082,0.6997817530999992,0.49128080763584564,True
2,0.4816692488036465,0.6940239540560876,0.486810192202067,0.6977178456955698,0.4867196212816697,0.6976529375568268,0.486810192202067,True
3,0.4708933551680514,0.6862166969464175,0.46059297685998496,0.6786700058644002,0.4641494321899472,0.6812851328114736,0.46059297685998496,True
4,0.46534814282205234,0.6821643077895914,0.47499538607373387,0.6891990903024567,0.4772365800590554,0.6908231177798376,0.46059297685998496,False
5,0.4632666998007798,0.6806369809235903,0.4649407568122036,0.6818656442527395,0.4658129122111361,0.6825048807233074,0.46059297685998496,False
6,0.458964120228588,0.6774689072042996,0.4558433247112184,0.675161702639611,0.45692678373297574,0.675963596455442,0.4558433247112184,True
7,0.4574379255440515,0.6763415746086082,0.45444392558530283,0.6741245623661126,0.45893126209268836,0.6774446561105109,0.45444392558530283,True
8,0.45624173268200025,0.6754566845342492,0.47348965073952587,0.6881058426866654,0.4783971843371077,0.6916626232037609,0.45444392558530283,False
9,0.45619426582972683,0.675421546761522,0.45919279907284055,0.6776376606069356,0.4583227934060562,0.6769954160893973,0.45444392558530283,False
10,0.4552586722472415,0.674728591544216,0.4752246867713583,0.6893654232490619,0.4771592778478809,0.6907671661622902,0.45444392558530283,False
11,0.4534045304736103,0.6733531989035252,0.4575040897473679,0.6763904861449249,0.46181713035350586,0.6795712842325711,0.45444392558530283,False
12,0.45344592205988044,0.6733839336217344,0.45023193246655613,0.6709932432346515,0.4520675196537939,0.6723596653977645,0.45023193246655613,True
13,0.45219076847459716,0.6724513130886111,0.4553234416337835,0.6747765864593877,0.4593986367096331,0.6777895224253861,0.45023193246655613,False
14,0.4517589995920301,0.6721301954175471,0.46456511814551804,0.681590139413356,0.4604563846187087,0.6785693661068916,0.45023193246655613,False
15,0.45171795331104064,0.672099660252139,0.463882509440048,0.6810892081365318,0.4671006256495642,0.6834476027096476,0.45023193246655613,False
16,0.4521121904794727,0.6723928840190627,0.4496060468365727,0.6705266936047906,0.4511590642760701,0.6716837531726296,0.4496060468365727,True
17,0.4518268158655356,0.6721806422871277,0.461263231448802,0.6791636264176711,0.46661965850129733,0.6830956437434639,0.4496060468365727,False
18,0.45093692984485706,0.6715183764014631,0.46172160164540627,0.6795009945875033,0.46161267861093497,0.6794208405774251,0.4496060468365727,False
19,0.44962616926753823,0.6705416983808973,0.4631355816450365,0.6805406539252717,0.4624015894342831,0.6800011687006744,0.4496060468365727,False
20,0.45036959389317477,0.6710958157321313,0.44912591532372553,0.6701685723187305,0.4544670651438424,0.6741417248204137,0.44912591532372553,True
